id,call_number,borough_id,city,state_code,state_name,name,freebase_topic_id,floor_plans,public_notes,nondisplay_notes,phpbbno,created,modified,deleted,deleted_date
99,YR.0099.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
100,YR.0100.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
101,YR.0101.BR,BR,Brooklyn,NY,New York,Sam Burt Houses,"",1,This is a Limited-Profit Housing Development under article II of the Private Housing Finance Law of the State of New York.,"",127,,,0,
102,YR.0102.BR,BR,Brooklyn,NY,New York,Garden Apartments,"",0,"","",127,,,0,
103,YR.0103.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
104,YR.0104.BR,BR,Brooklyn,NY,New York,Glenford Apartments,"",1,"","",0,,,0,
105,YR.0105.BR,BR,Brooklyn,NY,New York,Broadmoor,"",1,"","",0,,,0,
106,YR.0106.BR,BR,Brooklyn,NY,New York,The Harvard,"",1,"","",0,,,0,
107,YR.0107.BR,BR,Brooklyn,NY,New York,"Amhurst, Bradhurst","",1,Appointed by: Caleb Hornbostel,"",105,,,0,
108,YR.0108.BR,BR,Brooklyn,NY,New York,Benson,"",1,"","",0,,,0,
109,YR.0109.BR,BR,Brooklyn,NY,New York,Beverly,"",1,"","",0,,,0,
110,YR.0110.BR,BR,Brooklyn,NY,New York,Beverly House,"",1,"Date information: ""Building will be completed in the Summer of 1940""","",52,,,0,
111,YR.0111.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
112,YR.0112.BR,BR,Brooklyn,NY,New York,Beverly East,"",1,"","",0,,,0,
113,YR.0113.BR,BR,Brooklyn,NY,New York,Brighton Towers,"",1,"","",0,,,0,
114,YR.0114.BR,BR,Brooklyn,NY,New York,Brightwater,"",1,"","",0,,,0,
115,YR.0115.BR,BR,Brooklyn,NY,New York,Manhattan House on-the-boardwalk,"",1,"","",0,,,0,
116,YR.0116.BR,BR,Brooklyn,NY,New York,Brighton House,"",1,"","",0,,,0,
117,YR.0117.BR,BR,Brooklyn,NY,New York,Brooklyn House,"",1,"","",0,,,0,
118,YR.0118.BR,BR,Brooklyn,NY,New York,Buckingham,"",1,"","",0,,,0,
119,YR.0119.BR,BR,Brooklyn,NY,New York,Bay Shore Gardens,"",1,"","",0,,,0,
120,YR.0120.BR,BR,Brooklyn,NY,New York,"","",1,"","",36,,,0,
121,YR.0121.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
122,YR.0122.BR,BR,Brooklyn,NY,New York,Caton Park East,"",1,See also YR.0123.BR,"",0,,,0,
123,YR.0123.BR,BR,Brooklyn,NY,New York,Caton Park,"",1,"","See also YR.0122.BR, See also YR.0122.BR",0,,,0,
124,YR.0124.BR,BR,Brooklyn,NY,New York,Colgate,"",1,"","",0,,,0,
125,YR.0125.BR,BR,Brooklyn,NY,New York,Voison,"",1,"","",0,,,0,
126,YR.0126.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
127,YR.0127.BR,BR,Brooklyn,NY,New York,Clark Lane,"",1,"","",0,,,0,
128,YR.0128.BR,BR,Brooklyn,NY,New York,Towers Hotel,"",1,Piece includes handwritten notes from previous owner.,"",0,,,0,
129,YR.0129.BR,BR,Brooklyn,NY,New York,Brooklyn Heights Towers - The Beecher,"",1,"","",40,,,0,
130,YR.0130.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
131,YR.0131.BR,BR,Brooklyn,NY,New York,Clarkson,"",1,"","",0,,,0,
132,YR.0132.BR,BR,Brooklyn,NY,New York,"","",1,See also YR.0133.BR.,"",0,,,0,
133,YR.0133.BR,BR,Brooklyn,NY,New York,"","",1,See also YR.0132.BR.,"",0,,,0,
134,YR.0134.BR,BR,Brooklyn,NY,New York,Clarkson Terrace,"",1,"","",0,,,0,
135,YR.0135.BR,BR,Brooklyn,NY,New York,"","",1,"","",46,,,0,
136,YR.0136.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
137,YR.0137.BR,BR,Brooklyn,NY,New York,Colonial Towers,"",1,"","",0,,,0,
138,YR.0138.BR,BR,Brooklyn,NY,New York,Colonial Park,"",1,"","",0,,,0,
139,YR.0139.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
140,YR.0140.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
141,YR.0141.BR,BR,Brooklyn,NY,New York,Congress Gardens,"",1,"","",0,,,0,
142,YR.0142.BR,BR,Brooklyn,NY,New York,Cortelyou Hall,"",1,"","",0,,,0,
143,YR.0143.BR,BR,Brooklyn,NY,New York,Mayflower,"",1,"","",0,,,0,
144,YR.0144.BR,BR,Brooklyn,NY,New York,Corbin Terrace Apartments,"",1,"","",0,,,0,
145,YR.0146.BR,BR,Brooklyn,NY,New York,Court and Remsen Building,"",1,"","",0,,,0,
146,YR.0147.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
147,YR.0148.BR,BR,Brooklyn,NY,New York,Park Briar,"",1,"","",0,,,0,
148,YR.0149.BR,BR,Brooklyn,NY,New York,Clover Apartments,"",1,"","",0,,,0,
149,YR.0150.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
150,YR.0151.BR,BR,Brooklyn,NY,New York,Sylvan Towers,"",1,"","",0,,,0,
151,YR.0152.BR,BR,Brooklyn,NY,New York,Bayview Gardens,"",1,"","",127,,,0,
152,YR.0153.BR,BR,Brooklyn,NY,New York,Shore Haven Apartments - Alexander Hamilton,"",1,"","",0,,,0,
153,YR.0154.BR,BR,Brooklyn,NY,New York,Roger Williams,"",1,"","",0,,,0,
154,YR.0155.BR,BR,Brooklyn,NY,New York,Dahill Gardens,"",1,"","",0,,,0,
155,YR.0156.BR,BR,Brooklyn,NY,New York,Eldorado,"",1,"","",0,,,0,
156,YR.0157.BR,BR,Brooklyn,NY,New York,"","",1,"","",127,,,0,
157,YR.0158.BR,BR,Brooklyn,NY,New York,Hamilton House,"",1,"","",0,,,0,
158,YR.0159.BR,BR,Brooklyn,NY,New York,Colony House,"",1,"","",0,,,0,
159,YR.0160.BR,BR,Brooklyn,NY,New York,Claridge,"",1,"","",0,,,0,
160,YR.0161.BR,BR,Brooklyn,NY,New York,Shoreham Park - The Dover,"",1,"","",0,,,0,
161,YR.0162.BR,BR,Brooklyn,NY,New York,Winston,"",1,"","",0,,,0,
162,YR.0163.BR,BR,Brooklyn,NY,New York,Parkside,"",1,"","",0,,,0,
163,YR.0164.BR,BR,Brooklyn,NY,New York,Carlton Arms,"",1,"","",0,,,0,
164,YR.0165.BR,BR,Brooklyn,NY,New York,Monet,"",1,"","",0,,,0,
165,YR.0166.BR,BR,Brooklyn,NY,New York,Stephen Foster,"",1,"","",0,,,0,
166,YR.0167.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
167,YR.0168.BR,BR,Brooklyn,NY,New York,Parc Terrace,"",1,"","",0,,,0,
168,YR.0169.BR,BR,Brooklyn,NY,New York,Lincoln Gardens,"",1,"","",0,,,0,
169,YR.0170.BR,BR,Brooklyn,NY,New York,Lido,"",1,"","",0,,,0,
170,YR.0171.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
171,YR.0172.BR,BR,Brooklyn,NY,New York,Taylor House,"",1,"","",0,,,0,
172,YR.0173.BR,BR,Brooklyn,NY,New York,Dauphin,"",1,"","",0,,,0,
173,YR.0174.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
174,YR.0175.BR,BR,Brooklyn,NY,New York,Roder Gardens,"",1,"","",0,,,0,
175,YR.0176.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
176,YR.0177.BR,BR,Brooklyn,NY,New York,Washington Arms,"",1,"","",0,,,0,
177,YR.0178.BR,BR,Brooklyn,NY,New York,Shelton Arms,"",1,"","",0,,,0,
178,YR.0179.BR,BR,Brooklyn,NY,New York,Evergreen Apartments,"",1,"","",0,,,0,
179,YR.0180.BR,BR,Brooklyn,NY,New York,Amherst House,"",1,"","",0,,,0,
180,YR.0181.BR,BR,Brooklyn,NY,New York,Mayfair House,"",1,"","",0,,,0,
181,YR.0182.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
182,YR.0183.BR,BR,Brooklyn,NY,New York,Sutton,"",1,"","",0,,,0,
183,YR.0184.BR,BR,Brooklyn,NY,New York,"Hollywood Park II - The Bel-Air, The Hollywood","",1,"","",0,,,0,
184,YR.0185.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
185,YR.0186.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
186,YR.0187.BR,BR,Brooklyn,NY,New York,Kings Apartments,"",1,"","",0,,,0,
187,YR.0188.BR,BR,Brooklyn,NY,New York,Brookfield,"",1,"","",0,,,0,
188,YR.0189.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
189,YR.0190.BR,BR,Brooklyn,NY,New York,Harold Terrace,"",1,Piece includes handwritten notes from previous owner.,"",0,,,0,
190,YR.0191.BR,BR,Brooklyn,NY,New York,Berkshire Apartments,"",1,"","",84,,,0,
191,YR.0192.BR,BR,Brooklyn,NY,New York,Ashley Apartments,"",1,"","",0,,,0,
192,YR.0193.BR,BR,Brooklyn,NY,New York,Carden Hall,"",1,"","",0,,,0,
193,YR.0194.BR,BR,Brooklyn,NY,New York,Hollywood Park - The Pasadena,"",1,"","",0,,,0,
194,YR.0195.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
195,YR.0196.BR,BR,Brooklyn,NY,New York,Lafayette Apartments,"",1,"","",0,,,0,
196,YR.0197.BR,BR,Brooklyn,NY,New York,Lancaster,"",1,"","",0,,,0,
197,YR.0198.BR,BR,Brooklyn,NY,New York,Sands,"",1,"","",0,,,0,
198,YR.0199.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
199,YR.0200.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
200,YR.0201.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
201,YR.0202.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
202,YR.0203.BR,BR,Brooklyn,NY,New York,Balmoral,"",1,"","",0,,,0,
203,YR.0204.BR,BR,Brooklyn,NY,New York,Lido,"",1,"","",0,,,0,
204,YR.0205.BR,BR,Brooklyn,NY,New York,Colonial Manor Homes,"",1,"","",0,,,0,
205,YR.0206.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
206,YR.0207.BR,BR,Brooklyn,NY,New York,Beresford,"",1,"","",0,,,0,
207,YR.0208.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
208,YR.0209.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
209,YR.0210.BR,BR,Brooklyn,NY,New York,Arista Apartments,"",1,"","",0,,,0,
210,YR.0211.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
211,YR.0212.BR,BR,Brooklyn,NY,New York,Mansfield,"",1,"","",0,,,0,
212,YR.0213.BR,BR,Brooklyn,NY,New York,"","",1,"",Brochure never folded.,127,,,0,
213,YR.0214.BR,BR,Brooklyn,NY,New York,Mitchell House,"",1,"","",0,,,0,
214,YR.0215.BR,BR,Brooklyn,NY,New York,Sherry House,"",1,"","",0,,,0,
215,YR.0216.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
216,YR.0217.BR,BR,Brooklyn,NY,New York,130 East 18th Street House,"",1,"","",0,,,0,
217,YR.0218.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
218,YR.0219.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
219,YR.0220.BR,BR,Brooklyn,NY,New York,Garden of Theda,"",1,"","",0,,,0,
220,YR.0221.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
221,YR.0222.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
222,YR.0223.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
223,YR.0224.BR,BR,Brooklyn,NY,New York,Versailles,"",1,"","",0,,,0,
224,YR.0225.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
225,YR.0226.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
226,YR.0227.BR,BR,Brooklyn,NY,New York,Parkel Apartments,"",1,"","",0,,,0,
227,YR.0228.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
228,YR.0229.BR,BR,Brooklyn,NY,New York,Crest Apartments,"",1,"","",0,,,0,
229,YR.0230.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
230,YR.0231.BR,BR,Brooklyn,NY,New York,Brigitte Arms,"",1,"","",0,,,0,
231,YR.0232.BR,BR,Brooklyn,NY,New York,Ocean Drive Apartments,"",1,"","",0,,,0,
232,YR.0233.BR,BR,Brooklyn,NY,New York,Charles Apartments,"",1,"","",0,,,0,
233,YR.0234.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
234,YR.0235.BR,BR,Brooklyn,NY,New York,Carlyle,"",1,"","",0,,,0,
235,YR.0236.BR,BR,Brooklyn,NY,New York,Fleetwood Apartments,"",1,"","",0,,,0,
236,YR.0237.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
237,YR.0238.BR,BR,Brooklyn,NY,New York,Maplewood,"",1,"","",0,,,0,
238,YR.0239.BR,BR,Brooklyn,NY,New York,Mansfield,"",1,"","",0,,,0,
239,YR.0240.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
240,YR.0241.BR,BR,Brooklyn,NY,New York,Rex Apartments,"",1,"","",0,,,0,
241,YR.0242.BR,BR,Brooklyn,NY,New York,Lynmour,"",1,"","",0,,,0,
242,YR.0243.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
243,YR.0244.BR,BR,Brooklyn,NY,New York,Kenmore Towers,"",1,"","",0,,,0,
244,YR.0245.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
245,YR.0246.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
246,YR.0247.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
247,YR.0248.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
248,YR.0249.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
249,YR.0250.BR,BR,Brooklyn,NY,New York,Grove House,"",1,"","",0,,,0,
250,YR.0251.BR,BR,Brooklyn,NY,New York,Kellner Gardens,"",1,"","",0,,,0,
251,YR.0252.BR,BR,Brooklyn,NY,New York,Harick,"",1,"","",0,,,0,
252,YR.0253.BR,BR,Brooklyn,NY,New York,Wakefield,"",1,"","",0,,,0,
253,YR.0254.BR,BR,Brooklyn,NY,New York,Marguerite Apartments,"",1,"","",0,,,0,
254,YR.0255.BR,BR,Brooklyn,NY,New York,Anthony,"",1,"","",0,,,0,
255,YR.0256.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
256,YR.0257.BR,BR,Brooklyn,NY,New York,Virginia,"",1,"","",0,,,0,
257,YR.0258.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
258,YR.0259.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
259,YR.0260.BR,BR,Brooklyn,NY,New York,Clinton House,"",1,Brochure includes price information.,"",0,,,0,
260,YR.0261.BR,BR,Brooklyn,NY,New York,"Clarendon East, Clarendon West","",1,"","",0,,,0,
261,YR.0262.BR,BR,Brooklyn,NY,New York,Wellington,"",1,"","",0,,,0,
262,YR.0263.BR,BR,Brooklyn,NY,New York,Sheepshead Terrace,"",1,"","",0,,,0,
263,YR.0264.BR,BR,Brooklyn,NY,New York,Park Lanes East and West,"",1,"","",0,,,0,
264,YR.0265.BR,BR,Brooklyn,NY,New York,"Charlton House, Clifford House","",1,"","",0,,,0,
265,YR.0266.BR,BR,Brooklyn,NY,New York,Almar,"",1,"","",0,,,0,
266,YR.0267.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
267,YR.0268.BR,BR,Brooklyn,NY,New York,Minnesota,"",1,"","",0,,,0,
268,YR.0269.BR,BR,Brooklyn,NY,New York,Maine,"",1,"","",0,,,0,
269,YR.0270.BR,BR,Brooklyn,NY,New York,Lenox Arms Flatbush,"",1,"","",41,,,0,
270,YR.0271.BR,BR,Brooklyn,NY,New York,Carson Homes,"",1,Price information included on piece.  Model houses by Harrison Interiors.,"",0,,,0,
271,YR.0272.BR,BR,Brooklyn,NY,New York,Tania Homes,"",1,Price information included on piece.,"",0,,,0,
272,YR.0273.BR,BR,Brooklyn,NY,New York,Colony Estates,"",1,"","",0,,,0,
273,YR.0274.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
274,YR.0275.BR,BR,Brooklyn,NY,New York,College Park - Northwestern,"",1,"","",0,,,0,
275,YR.0276.BR,BR,Brooklyn,NY,New York,Stella Baar Celler Staff Residence of the Brookdale Hospital Center,"",1,"","",127,,,0,
276,YR.0277.BR,BR,Brooklyn,NY,New York,Avalon Estates,"",1,"","",0,,,0,
278,YR.0279.BR,BR,Brooklyn,NY,New York,Copley Plaza,"",1,"","",0,,,0,
279,YR.0280.BR,BR,Brooklyn,NY,New York,Elm Apartments,"",1,"","",112,,,0,
280,YR.0281.BR,BR,Brooklyn,NY,New York,Raleigh,"",1,"","",0,,,0,
281,YR.0282.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
282,YR.0283.BR,BR,Brooklyn,NY,New York,Hollywood Park III - The Hampton,"",1,"","",0,,,0,
283,YR.0284.BR,BR,Brooklyn,NY,New York,Hollywood Park III - The Atlantis,"",1,"","",0,,,0,
284,YR.0285.BR,BR,Brooklyn,NY,New York,Allan House,"",1,"","",0,,,0,
285,YR.0286.BR,BR,Brooklyn,NY,New York,Shoreham,"",1,"","",0,,,0,
286,YR.0287.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
287,YR.0289.BR,BR,Brooklyn,NY,New York,Philip Howard Apartments,"",1,"","",0,,,0,
288,YR.0290.BR,BR,Brooklyn,NY,New York,Dann Building,"",1,"","",0,,,0,
